"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"157",-14,11,5,1607,1714,42,160,8,10,-7,0,0,0,0,0,0
"158",0,3,3,2115,555,313,2677,9,23,-5,0,0,0,0,0,0
"159",1,4,2,633,752,63,250,6,16,-5,0,0,0,0,0,0
"160",12,1,7,2100,2238,66,507,4,14,26,0,0,0,0,0,0
"161",-12,8,1,1120,1230,49,247,6,8,-5,0,0,0,0,0,0
"162",-8,3,6,830,1059,126,761,10,16,-11,0,0,0,0,0,0
"163",-10,5,6,1505,1600,34,180,4,8,-1,0,0,0,0,0,0
"164",-15,11,2,1848,1948,37,157,5,9,-6,0,0,0,0,0,0
"165",-4,5,7,1000,1122,61,438,5,15,-3,0,0,0,0,0,0
"166",-9,5,7,2130,2224,28,156,5,12,0,0,0,0,0,0,0
"167",-16,5,4,832,1005,64,390,8,9,-4,0,0,0,0,0,0
"168",143,3,7,1842,1905,61,264,7,39,119,0,0,0,1,0,0
"169",-18,7,2,1305,1705,207,1623,8,13,-6,0,0,0,0,0,0
"170",0,12,2,1559,1744,75,602,8,17,5,0,0,0,0,0,0
"171",-1,10,1,1855,2058,97,665,8,22,-5,0,0,0,0,0,0
"172",-11,4,2,1244,1424,71,528,13,7,-2,0,0,0,0,0,0
"173",-11,11,6,1505,1614,46,223,8,10,-6,0,0,0,0,0,0
"174",-11,7,1,615,755,75,551,4,14,-4,0,0,0,0,0,0
"175",-16,6,5,740,1120,135,1062,2,10,-3,0,0,0,0,0,0
"176",11,12,3,940,1054,52,249,2,34,-3,0,0,0,0,0,0
"177",3,9,7,1200,1426,60,235,14,15,0,0,0,0,0,0,0
"178",-9,7,1,925,1329,160,1208,3,11,1,0,0,0,0,0,0
"179",91,7,7,1935,2102,79,264,16,11,72,0,0,0,1,0,1
"180",28,7,4,1335,1500,57,374,4,8,44,0,1,0,0,0,0
"181",-2,2,6,2045,2358,103,867,4,17,7,0,0,0,0,0,0
"182",4,1,2,2132,9,130,866,5,18,8,0,0,0,0,0,0
"183",-10,6,1,930,1115,80,603,5,13,-3,0,0,0,0,0,0
"184",59,7,2,1705,1826,67,329,4,70,-1,0,0,0,1,0,0
"185",15,3,5,1730,1909,161,911,3,13,-3,0,0,0,1,0,0
"186",-11,4,2,2120,2220,42,247,2,10,-5,0,0,0,0,0,0
"187",74,10,1,2035,2133,118,197,6,16,-8,0,0,0,1,0,0
"188",18,9,1,1105,1254,104,581,6,19,-2,0,0,0,1,0,0
"189",-21,6,1,2010,2207,118,748,7,33,-2,0,0,0,0,0,0
"190",-2,1,6,844,957,52,299,2,22,-5,0,0,0,0,0,0
"191",-7,10,2,925,1050,124,895,6,10,-2,0,0,0,0,0,0
"192",18,12,4,835,1548,248,1953,12,20,-9,0,0,0,1,0,0
"193",-6,7,4,915,1140,64,440,6,8,1,0,0,0,0,0,0
"194",-3,1,2,715,900,85,500,11,16,-10,0,0,0,0,0,0
"195",-9,10,6,1430,1603,72,468,4,11,-3,0,0,0,0,0,0
"196",-14,2,6,1110,1410,101,752,6,9,-10,0,0,0,0,0,0
"197",22,2,2,1346,1513,64,432,6,15,24,0,0,0,0,0,1
"198",54,8,5,1805,1940,72,543,23,8,46,0,0,0,1,0,1
"199",-11,4,2,829,1032,98,649,3,14,-3,0,0,0,0,0,0
"200",-21,3,6,830,947,40,214,4,15,-3,0,0,0,0,0,0
"201",-34,10,6,1935,2204,94,644,10,15,-4,0,0,0,0,0,0
"202",6,6,4,1500,1745,131,946,6,27,7,0,0,0,0,0,0
